"id","user_id","content","created_at","updated_at"
"1","2195","hhhhhhhh","2019-08-26 13:30:26","2019-08-26 13:30:26"
"2","148","Can't believe I'm learning ML","2019-08-26 13:57:35","2019-08-26 13:57:35"
"3","2212","- what you have learned so far
I've learned to be proactive
I've learned to pay attention to research. If you look hard enough, you will find the answers.
I've learned to ask for help.

- what you wish to still learn
I really want to code. I'm a total newbie and I'm hoping that I will be able to access training for beginners like me

- what you wish should be improved.
I think the way information is disseminated can be improved. It wasn't really easy getting information on what to do first, but I guess I've learned from it","2019-08-26 14:35:41","2019-08-26 14:35:41"
"4","1","Hey people","2019-08-26 15:12:07","2019-08-26 15:12:07"
"5","2223","nice","2019-08-26 15:24:55","2019-08-26 15:24:55"
"6","2223","<?php
echo ""nice"";
?>","2019-08-26 15:25:07","2019-08-26 15:25:07"
"7","6","It's one of those days...","2019-08-26 21:08:43","2019-08-26 21:08:43"
"8","6","TMI","2019-08-26 21:50:06","2019-08-26 21:50:06"
"9","4","Hey people","2019-08-26 22:29:07","2019-08-26 22:29:07"
"10","2263","No matter what happens in  your journey, make sure  not to succumb to circumstances.","2019-08-27 04:42:45","2019-08-27 04:42:45"
"11","6","I hate web design!","2019-08-27 09:23:35","2019-08-27 09:23:35"
"12","2278","I've been having so much to do recently and the same 24 hours daily as I've always had. Multi tasking hasn't really been my forte as I prefer to focus and compartmentalize. But at this stage in my life, there is no room for excuses, I have to evolve because the alternative is unthinkable.","2019-08-27 11:27:04","2019-08-27 11:27:04"
"13","2273","A FUTURE WITHOUT TEARS
It is possible, there is no doubt about that. Yet, it is a choice of which most people refuse to make. We all have the power to make of ourselves what we want. Choose life, choose happiness.","2019-08-27 12:10:19","2019-08-27 12:10:19"
"14","1","Hey","2019-08-31 11:59:10","2019-08-31 11:59:10"
"15","1","Testing","2019-08-31 18:41:47","2019-08-31 18:41:47"
"16","4","Hey","2019-09-05 17:19:25","2019-09-05 17:19:25"
